,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
5578,50240,BLR2,BIT,0,50240_BLR2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5580,50240,BLR3,BIT,0,50240_BLR3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5582,50240,BLR5,BIT,46405,50240_BLR5,46405,115.34830059450002,522.01420707,280.161657100875,5.5569254301,18417.8399671875,1195.58092587,547.272959025,1171726250.0
5584,50240,BLR7,BIT,0,50240_BLR7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5602,50244,4PB,BIT,120137,50244_4PB,120137,325.86958819155006,940.5533598973501,621.2229607665,16.56594562044,30080.26967922,2463.094546197,404.33985691995,3236010232.0
5604,50244,BBB,BIT,62102,50244_BBB,62102,168.45062858130004,486.19696476810003,321.126616359,8.563376436239999,15549.28879212,1273.238864862,209.01399064769998,1672779472.0
5606,50244,PGB,BIT,49537,50244_PGB,49537,134.36827780155002,387.82549746735003,256.15357306650003,6.83076194844,12403.225643220001,1015.626447597,166.72451860995,1334328632.0
5608,50244,RBB,BIT,39981,50244_RBB,39981,108.44778882015004,313.01151087555,206.73993186450002,5.51306484972,10010.56512186,819.7056947609999,134.56230652935002,1076928216.0
5610,50244,RCB,BIT,94900,50244_RCB,94900,257.41465093500005,742.9727215950002,490.72358205,13.085962188,23761.352394,1945.6759569,319.400787615,2556226400.0
5612,50250,1RB,BIT,6088,50250_1RB,6088,15.132861847200003,68.484484272,36.7551808734,0.72902838096,2416.2872475,156.85156075199998,71.79824964000001,153722000.0
5616,50250,2RB,BIT,12453,50250_2RB,12453,30.954258965700003,140.08496758200002,75.182698327275,1.49122707426,4942.5139771875,320.83976446199995,146.863272465,314438250.0
5620,50250,3PB,BIT,315,50250_3PB,315,0.7829913735,3.54346461,1.9017545951250003,0.03772075230000001,125.02143281250001,8.11567701,3.714922575,7953750.0
5624,50250,4PB,BIT,15,50250_4PB,15,0.037285303500000005,0.16873641,0.09055974262500001,0.0017962263,5.9534015625,0.38646081,0.176901075,378750.0
5628,50250,6PB,BIT,0,50250_6PB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5633,50254,1PB,BIT,95358,50254_1PB,95358,237.03013141020003,1072.691105652,575.70639581565,11.418969834360002,37846.964413125,2456.8086613319997,1124.59551399,2407789500.0
5655,50282,24PB,BIT,26156,50282_24PB,26156,30.372263500800003,46.982095102799995,104.7605807469,0.6798166791389999,21023.30114196,436.601287824,49.3549281888,714058800.0
5661,50282,25PB,BIT,249369,50282_25PB,249369,289.5664848192,447.92315620470004,998.778148809975,6.48131233599225,200434.30121079,4162.518219275999,470.5455378312,6807773700.0
5666,50282,26PB,BIT,0,50282_26PB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5671,50282,2RB,BIT,0,50282_2RB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5677,50282,3RB,BIT,0,50282_3RB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5683,50284,7,BIT,69774,50284_7,69774,173.43631776060002,784.894284756,421.24769879445006,8.35532625708,27692.842708125,1797.661103796,822.87304047,1761793500.0
5705,50296,C1,BIT,0,50296_C1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5710,50296,C2,BIT,25682,50296_C2,25682,54.5180808978,799.132553331,123.0151568976,4.51987508298,3774.32867754,583.6230455085,79.91325533310001,653093260.0
5715,50296,R1,BIT,0,50296_R1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5720,50296,R2,BIT,0,50296_R2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5725,50296,R3,BIT,0,50296_R3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5734,50305,K19,SUB,15846,50305_K19,15846,16.387789001399998,31.1943001167,66.12616614599999,1.0501122689055,1581.2778861,842.389855686,43.5570181353,271457826.0
5740,50305,K20,SUB,17029,50305_K20,17029,17.611236836099998,33.52314380205,71.062885479,1.12850951831325,1699.32987015,905.279367189,46.80881369594999,291723799.0
5746,50305,K21,SUB,17103,50305_K21,17103,17.6877669627,33.66881956935,71.371691253,1.13341348826775,1706.71435605,909.2132842230001,47.01222271665,292991493.0
5752,50305,K22,SUB,22044,50305_K22,22044,22.7977041996,43.395629923799994,91.99073624399999,1.4608528875270002,2199.7784754,1171.8819878040001,60.59389800419999,377635764.0
5758,50305,K23,SUB,25345,50305_K23,25345,26.2115683605,49.893950300250005,105.765977595,1.67960970941625,2529.1864207500003,1347.366584145,69.66758958975,434185195.0
5764,50308,3,SUB,35148,50308_3,35148,36.34974175319999,69.19205228460001,146.674396548,2.329253188659,3507.4312218,1868.504269068,96.61378729139999,602120388.0
